Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10953259,2020-01-22 23:02:09,2020-01-22 17:30:16,6482402,1957685404,6482402,302,605,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/953/SRR10953259.sralite.1,SRX7619800,GGNYP,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243997,PRJNA567323,,567323,SRS6052154,SAMN12794205,simple,3694,Populus trichocarpa,Gp0382717,,,,,,,no,,,,,JGI,SRA1030248,,public,0C4492F1D60802A3B76736EF732F1E2F,5A7A85F8D990791FEC030DBF3E38A6E0
SRR10953250,2020-01-22 23:02:09,2020-01-22 17:31:09,8826309,2665545318,8826309,302,826,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953250.sralite.1,SRX7619809,GGNYO,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP244005,PRJNA567324,,567324,SRS6052162,SAMN12794422,simple,3694,Populus trichocarpa,Gp0382718,,,,,,,no,,,,,JGI,SRA1030248,,public,1A96BE787B844B51DA3CADC57CF6D7E8,52F2AE123463CE741954E41E22575CF5
SRR10953273,2020-01-22 23:02:09,2020-01-22 17:38:51,7316202,2209493004,7316202,302,691,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/953/SRR10953273.sralite.1,SRX7619786,GGOAW,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243983,PRJNA567325,,567325,SRS6052140,SAMN12794206,simple,3694,Populus trichocarpa,Gp0382719,,,,,,,no,,,,,JGI,SRA1030248,,public,4EB1720A794DDF8EF53626474C4F393A,3B86AE3FB9330D254918C5BC967CE3CD
SRR10953277,2020-01-22 23:02:09,2020-01-22 17:37:57,5975994,1804750188,5975994,302,566,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/953/SRR10953277.sralite.1,SRX7619782,GGOAY,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243980,PRJNA567326,,567326,SRS6052137,SAMN12793987,simple,3694,Populus trichocarpa,Gp0382720,,,,,,,no,,,,,JGI,SRA1030248,,public,BDD3C170A62A77A71D0AA3DBC7793357,AE05E5010DF1999E4BF931856DD02690
SRR10953272,2020-01-22 23:02:09,2020-01-22 17:35:32,8503854,2568163908,8503854,302,794,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953272.sralite.1,SRX7619787,GGOAU,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243984,PRJNA567327,,567327,SRS6052141,SAMN12793988,simple,3694,Populus trichocarpa,Gp0382721,,,,,,,no,,,,,JGI,SRA1030248,,public,8864CDFA9826FE6341E7A9B0855C5C8B,C6BF2B412093533E7064F8F16A575A4F
SRR10953268,2020-01-22 23:02:09,2020-01-22 17:08:00,10765551,3251196402,10765551,302,1016,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953268.sralite.1,SRX7619791,GGOAN,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243988,PRJNA567328,,567328,SRS6052145,SAMN12794041,simple,3694,Populus trichocarpa,Gp0382722,,,,,,,no,,,,,JGI,SRA1030248,,public,2DDFD2265E735B573A166EB19DEDFB04,05B31C8430D3E12E2B02BD313038047B
SRR10953271,2020-01-22 23:02:09,2020-01-22 17:33:30,5539464,1672918128,5539464,302,520,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/953/SRR10953271.sralite.1,SRX7619788,GGOAT,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243986,PRJNA567329,,567329,SRS6052143,SAMN12794423,simple,3694,Populus trichocarpa,Gp0382723,,,,,,,no,,,,,JGI,SRA1030248,,public,7C1D449724E51856961037622816CD1E,EB65A8110E2D0E960590B68F316A5DF4
SRR10953240,2020-01-22 23:02:09,2020-01-22 17:22:32,8775759,2650279218,8775759,302,834,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953240.sralite.1,SRX7619819,GGOBA,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP244016,PRJNA567330,,567330,SRS6052173,SAMN12793989,simple,3694,Populus trichocarpa,Gp0382724,,,,,,,no,,,,,JGI,SRA1030248,,public,D5785B30E20DD58C545EBB06F00E8828,50F6F9F9E8111F22A2BB103E72F61FDD
SRR10953251,2020-01-22 23:02:09,2020-01-22 17:31:38,7274688,2196955776,7274688,302,682,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/953/SRR10953251.sralite.1,SRX7619808,GGNYN,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP244006,PRJNA567331,,567331,SRS6052163,SAMN12794218,simple,3694,Populus trichocarpa,Gp0382725,,,,,,,no,,,,,JGI,SRA1030248,,public,4C1E5DB47974E78C9C3B3F8B2B328E48,94654F38300332BAAAFFB8BB83B7A7EE
SRR10953256,2020-01-22 23:02:09,2020-01-22 17:39:24,8359802,2524660204,8359802,302,787,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/953/SRR10953256.sralite.1,SRX7619803,GGNYY,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP244000,PRJNA567332,,567332,SRS6052157,SAMN12794049,simple,3694,Populus trichocarpa,Gp0382726,,,,,,,no,,,,,JGI,SRA1030248,,public,48DEE328B7FC162548C7B191A9B4DAB1,96936CC1AF7313A60AA1E3F483CE0E5C
SRR10953280,2020-01-22 23:02:09,2020-01-22 17:41:24,5947257,1796071614,5947257,302,560,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/953/SRR10953280.sralite.1,SRX7619779,GGNZO,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243977,PRJNA567333,,567333,SRS6052134,SAMN12794050,simple,3694,Populus trichocarpa,Gp0382727,,,,,,,no,,,,,JGI,SRA1030248,,public,7C9BBCFCFCD03ED4469D7A21DB8DE01E,EBE1CDF57C95EC5994F483C028121087
SRR10953293,2020-01-22 23:02:08,2020-01-22 17:08:12,8939534,2699739268,8939534,302,835,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953293.sralite.1,SRX7619766,GGNZW,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243963,PRJNA567334,,567334,SRS6052120,SAMN12794219,simple,3694,Populus trichocarpa,Gp0382728,,,,,,,no,,,,,JGI,SRA1030248,,public,074235FAF6D6458DD1184CA3A462E03A,F9C8032F703FCBB88079C412F6A013E7
SRR10953284,2020-01-22 23:02:09,2020-01-22 17:03:04,9532174,2878716548,9532174,302,894,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/953/SRR10953284.sralite.1,SRX7619775,GGNZB,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243971,PRJNA567335,,567335,SRS6052129,SAMN12794348,simple,3694,Populus trichocarpa,Gp0382730,,,,,,,no,,,,,JGI,SRA1030248,,public,34798C98D7FDDE38BDB07E9012BBBB62,589EB05ED27A7AD4EE3494955F59C968
SRR10953264,2020-01-22 23:02:09,2020-01-22 17:32:41,7586935,2291254370,7586935,302,712,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953264.sralite.1,SRX7619795,GGOAG,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243992,PRJNA567336,,567336,SRS6052149,SAMN12794441,simple,3694,Populus trichocarpa,Gp0382731,,,,,,,no,,,,,JGI,SRA1030248,,public,A2880D99F4D57294C2073342E652A7B2,9D4725DAD69A390A4810197E927DC542
SRR10953246,2020-01-22 23:02:09,2020-01-22 16:48:49,9464296,2858217392,9464296,302,879,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953246.sralite.1,SRX7619813,GGOBN,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP244009,PRJNA567337,,567337,SRS6052166,SAMN12794440,simple,3694,Populus trichocarpa,Gp0382732,,,,,,,no,,,,,JGI,SRA1030248,,public,43FD84F1CE790737D2C3D93392077386,5765D7AD3918D6F800DA8751CB7674EA
SRR10953249,2020-01-22 23:02:09,2020-01-22 17:34:02,8426933,2544933766,8426933,302,797,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/953/SRR10953249.sralite.1,SRX7619810,GGNYH,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP244007,PRJNA567338,,567338,SRS6052164,SAMN12794126,simple,3694,Populus trichocarpa,Gp0382733,,,,,,,no,,,,,JGI,SRA1030248,,public,FEEA9F484E837BC6D5D9261D60553147,6B6FA4E95EA051FC093B97245C236F5C
