"ID","Response","Variable","Estimate","Std. Error","t value","Pr(>|t|)"
9,"scale(bcd)","Mating.systemoutcrossing","1.58427176138393","0.209181302476311","7.57367767878461","2.6084912008173e-11"
9,"scale(bcd)","cultivation.statuswild","0.429960834169102","0.349977581750467","1.22853821670116","0.222344837732072"
9,"scale(bcd)","Generation.timenot
annual","-0.235568294003736","0.54990129686101","-0.428382866795233","0.669362922013792"
10,"scale(log10(pi))","(Intercept)","-1.78628786272928","1.16714999497765","-1.53046983713818","0.129295011591207"
10,"scale(log10(pi))","log10(gbif_native_area)","0.218263190611507","0.0725084314579401","3.0101766956318","0.00336076567377575"
10,"scale(log10(pi))","Mating.systemoutcrossing","0.827732165295736","0.105613355987484","7.83738152770971","7.39941441452174e-12"
10,"scale(log10(pi))","cultivation.statuswild","0.218627177984048","0.160986890770287","1.35804335954291","0.177735568623294"
10,"scale(log10(pi))","Generation.timenot
annual","-0.00208324498036261","0.261583571645654","-0.00796397482936966","0.993662793423247"
11,"scale(jac)","(Intercept)","-3.62835600836561","2.33740290696793","-1.55230234271947","0.123986456901475"
11,"scale(jac)","log10(gbif_native_area)","0.494784864341785","0.145209629609534","3.40738328217112","0.000970700843489603"
11,"scale(jac)","Mating.systemoutcrossing","1.83163099698421","0.211507489493251","8.65988718117076","1.3944401189292e-13"
11,"scale(jac)","cultivation.statuswild","0.649402431990564","0.322401771913988","2.01426446304958","0.046870397731305"
11,"scale(jac)","Generation.timenot
annual","-1.00578395202984","0.523862574142678","-1.91993855196823","0.0579304077218465"
12,"scale(bcd)","(Intercept)","-4.99915292457496","2.56635847819575","-1.94795581640237","0.0544356550511056"
12,"scale(bcd)","log10(gbif_native_area)","0.743426477162273","0.159433344997207","4.66292968497461","1.04034541750231e-05"
12,"scale(bcd)","Mating.systemoutcrossing","1.6253243239263","0.232225277569723","6.99891218103212","3.9313774458094e-10"
12,"scale(bcd)","cultivation.statuswild","0.776320849801615","0.353981984992949","2.19310835780831","0.0307934430975856"
12,"scale(bcd)","Generation.timenot
annual","-1.07328685646063","0.575176472379975","-1.86601314205285","0.0651912630287588"
13,"scale(log10(pi))","(Intercept)","-2.93552517176143","1.43549687235759","-2.04495407011251","0.0436851019616573"
13,"scale(log10(pi))","log10(wcvp_all_popsize)","0.187544978482781","0.0691065490886805","2.71385246342015","0.00792590581727515"
13,"scale(log10(pi))","Mating.systemoutcrossing","0.63141498836705","0.0846419418407507","7.45983580522081","4.48179271472782e-11"
13,"scale(log10(pi))","cultivation.statuswild","0.238140352793915","0.161991316450723","1.47008097725014","0.144914949012877"
13,"scale(log10(pi))","Generation.timenot
annual","0.317462678945656","0.269103488169368","1.17970480838157","0.24112658993544"
