assembly	chromosome
capsella_grandiflora	Scaffold10514
capsella_grandiflora	Scaffold10519
capsella_grandiflora	Scaffold10526
capsella_grandiflora	Scaffold10529
capsella_grandiflora	Scaffold10540
capsella_grandiflora	Scaffold10552
capsella_grandiflora	Scaffold10589
capsella_grandiflora	Scaffold10592
capsella_grandiflora	Scaffold1060
capsella_grandiflora	Scaffold10613
capsella_grandiflora	Scaffold1062
capsella_grandiflora	Scaffold10629
capsella_grandiflora	Scaffold10630
capsella_grandiflora	Scaffold10637
capsella_grandiflora	Scaffold10643
capsella_grandiflora	Scaffold10644
capsella_grandiflora	Scaffold1065
capsella_grandiflora	Scaffold1066
capsella_grandiflora	Scaffold10664
capsella_grandiflora	Scaffold10668
capsella_grandiflora	Scaffold10677
capsella_grandiflora	Scaffold10693
capsella_grandiflora	Scaffold10702
capsella_grandiflora	Scaffold10726
capsella_grandiflora	Scaffold10733
capsella_grandiflora	Scaffold1074
capsella_grandiflora	Scaffold10745
capsella_grandiflora	Scaffold10750
capsella_grandiflora	Scaffold1076
capsella_grandiflora	Scaffold1078
capsella_grandiflora	Scaffold10786
capsella_grandiflora	Scaffold1080
capsella_grandiflora	Scaffold10809
capsella_grandiflora	Scaffold10827
capsella_grandiflora	Scaffold10834
capsella_grandiflora	Scaffold10840
capsella_grandiflora	Scaffold10846
capsella_grandiflora	Scaffold1085
capsella_grandiflora	Scaffold10856
capsella_grandiflora	Scaffold10862
capsella_grandiflora	Scaffold10869
capsella_grandiflora	Scaffold10875
capsella_grandiflora	Scaffold1088
capsella_grandiflora	Scaffold1090
capsella_grandiflora	Scaffold1091
capsella_grandiflora	Scaffold10917
capsella_grandiflora	Scaffold10922
capsella_grandiflora	Scaffold10937
capsella_grandiflora	Scaffold1095
capsella_grandiflora	Scaffold10957
capsella_grandiflora	Scaffold10962
capsella_grandiflora	Scaffold1097
capsella_grandiflora	Scaffold110
capsella_grandiflora	Scaffold1100
capsella_grandiflora	Scaffold11000
capsella_grandiflora	Scaffold11005
capsella_grandiflora	Scaffold11017
capsella_grandiflora	Scaffold11026
capsella_grandiflora	Scaffold1103
capsella_grandiflora	Scaffold11045
capsella_grandiflora	Scaffold1105
capsella_grandiflora	Scaffold11064
capsella_grandiflora	Scaffold11075
capsella_grandiflora	Scaffold1110
capsella_grandiflora	Scaffold11101
capsella_grandiflora	Scaffold1111
capsella_grandiflora	Scaffold11120
capsella_grandiflora	Scaffold1113
capsella_grandiflora	Scaffold11146
capsella_grandiflora	Scaffold11163
capsella_grandiflora	Scaffold11188
capsella_grandiflora	Scaffold11199
capsella_grandiflora	Scaffold1120
capsella_grandiflora	Scaffold11216
capsella_grandiflora	Scaffold11220
capsella_grandiflora	Scaffold1125
capsella_grandiflora	Scaffold11254
capsella_grandiflora	Scaffold11277
capsella_grandiflora	Scaffold11292
capsella_grandiflora	Scaffold11298
capsella_grandiflora	Scaffold11302
capsella_grandiflora	Scaffold11303
capsella_grandiflora	Scaffold11305
capsella_grandiflora	Scaffold1131
capsella_grandiflora	Scaffold11315
capsella_grandiflora	Scaffold11327
capsella_grandiflora	Scaffold1133
capsella_grandiflora	Scaffold11346
capsella_grandiflora	Scaffold11359
capsella_grandiflora	Scaffold1136
capsella_grandiflora	Scaffold11361
capsella_grandiflora	Scaffold11372
capsella_grandiflora	Scaffold1138
capsella_grandiflora	Scaffold11386
capsella_grandiflora	Scaffold11390
capsella_grandiflora	Scaffold114
capsella_grandiflora	Scaffold11403
capsella_grandiflora	Scaffold11404
capsella_grandiflora	Scaffold11433
capsella_grandiflora	Scaffold11446
capsella_grandiflora	Scaffold11458
capsella_grandiflora	Scaffold11472
capsella_grandiflora	Scaffold1148
capsella_grandiflora	Scaffold11485
capsella_grandiflora	Scaffold1150
capsella_grandiflora	Scaffold11502
capsella_grandiflora	Scaffold11510
capsella_grandiflora	Scaffold11516
capsella_grandiflora	Scaffold11531
capsella_grandiflora	Scaffold1154
capsella_grandiflora	Scaffold11546
capsella_grandiflora	Scaffold1155
capsella_grandiflora	Scaffold11552
capsella_grandiflora	Scaffold1157
capsella_grandiflora	Scaffold1158
capsella_grandiflora	Scaffold11583
capsella_grandiflora	Scaffold11587
capsella_grandiflora	Scaffold11588
capsella_grandiflora	Scaffold11589
capsella_grandiflora	Scaffold11598
capsella_grandiflora	Scaffold11603
capsella_grandiflora	Scaffold11605
capsella_grandiflora	Scaffold11625
capsella_grandiflora	Scaffold1164
capsella_grandiflora	Scaffold11647
capsella_grandiflora	Scaffold11649
capsella_grandiflora	Scaffold11654
capsella_grandiflora	Scaffold11657
capsella_grandiflora	Scaffold11658
capsella_grandiflora	Scaffold11664
capsella_grandiflora	Scaffold11671
capsella_grandiflora	Scaffold11694
capsella_grandiflora	Scaffold11695
capsella_grandiflora	Scaffold117
capsella_grandiflora	Scaffold11739
capsella_grandiflora	Scaffold11748
capsella_grandiflora	Scaffold11756
capsella_grandiflora	Scaffold11757
