Sample	Passed Filter	Low Quality	Too Many N	Too short
SRR1945592_1	48165446.0	2794138.0	26098.0	0.0
SRR1945593_1	160494822.0	14384238.0	63842.0	0.0
SRR1945594_1	59567558.0	8595304.0	108162.0	0.0
SRR1945595_1	1524090.0	6512344.0	30965288.0	0.0
SRR1945596_1	1418726.0	6126952.0	29793938.0	0.0
SRR1945597_1	1816148.0	9142794.0	35775952.0	0.0
SRR1945598_1	1728582.0	8117906.0	33825378.0	0.0
SRR1945599_1	1316536.0	9921136.0	28151996.0	0.0
SRR1945600_1	3031578.0	17838020.0	54782448.0	0.0
SRR1945601_1	1648572.0	12032764.0	33536256.0	0.0
SRR1945602_1	1170806.0	7836118.0	20782762.0	0.0
SRR1945603_1	21865670.0	26462986.0	27972.0	0.0
SRR1945604_1	36686242.0	4011370.0	429086.0	0.0
SRR1945605_1	122504434.0	9564120.0	24884.0	0.0
SRR1945606_1	137894996.0	17437132.0	20366.0	0.0
SRR1945607_1	77739306.0	7345236.0	82402.0	0.0
SRR1945608_1	56727758.0	9368752.0	16144.0	0.0
SRR1945609_1	30776910.0	5916030.0	89778.0	0.0
SRR1945610_1	71571960.0	15991224.0	19052.0	0.0
SRR1945611_1	50508570.0	13828340.0	15314.0	0.0
SRR1945612_1	51016978.0	12040826.0	15060.0	0.0
SRR1945613_1	53111882.0	3873808.0	515700.0	0.0
SRR1945614_1	162102094.0	16282614.0	8086.0	0.0
SRR1945615_1	48818568.0	2689278.0	451018.0	0.0
SRR1945616_1	51304658.0	11412366.0	9868.0	0.0
SRR1945617_1	49364100.0	1855418.0	447366.0	0.0
SRR1945618_1	12032278.0	23922890.0	2164.0	0.0
SRR1945619_1	59839832.0	2585810.0	43108.0	0.0
SRR1945620_1	16076486.0	12792548.0	6888.0	0.0
SRR1945621_1	27813552.0	3936334.0	21398.0	0.0
SRR1945622_1	68059072.0	4661740.0	69550.0	0.0
SRR1945623_1	42033008.0	12417162.0	7764.0	0.0
SRR1945624_1	38021108.0	2576014.0	15190.0	0.0
SRR1945625_1	73539974.0	6198936.0	68908.0	0.0
SRR1945626_1	40536574.0	4511502.0	242668.0	0.0
SRR1945627_1	20071342.0	18362252.0	14508.0	0.0
SRR1945628_1	30883414.0	4750460.0	89378.0	0.0
SRR1945629_1	29774768.0	4612940.0	69392.0	0.0
SRR1945630_1	52488788.0	12446772.0	13568.0	0.0
SRR1945631_1	52839042.0	7902708.0	96324.0	0.0
SRR1945632_1	44865654.0	5689356.0	88156.0	0.0
SRR1945633_1	74579026.0	8006548.0	63304.0	0.0
SRR1945634_1	40449118.0	4251166.0	16336.0	0.0
SRR1945635_1	60634730.0	10875914.0	11106.0	0.0
SRR1945636_1	31396446.0	323084.0	18298.0	0.0
SRR1945637_1	78876536.0	8079354.0	68108.0	0.0
SRR1945638_1	69167454.0	5558216.0	20166.0	0.0
SRR1945639_1	98307174.0	6684076.0	14444.0	0.0
SRR1945640_1	50914686.0	6557770.0	90120.0	0.0
SRR1945641_1	74881972.0	7099234.0	60384.0	0.0
SRR1945642_1	125175644.0	11246392.0	17092.0	0.0
SRR1945643_1	73070378.0	9799938.0	8460.0	0.0
SRR1945644_1	40074382.0	22256788.0	1208.0	0.0
SRR1945645_1	128051654.0	10995276.0	20958.0	0.0
SRR1945646_1	48005670.0	6521478.0	28622.0	0.0
SRR1945647_1	80849504.0	9947652.0	64040.0	0.0
SRR1945648_1	79055092.0	8119824.0	64206.0	0.0
SRR1945649_1	49282334.0	8601000.0	8166.0	0.0
SRR1945650_1	46490982.0	11731256.0	29044.0	0.0
SRR1945651_1	137375136.0	13688752.0	55594.0	0.0
SRR1945652_1	45985458.0	11399900.0	5714.0	0.0
SRR1945653_1	51962766.0	13495436.0	29152.0	0.0
SRR1945654_1	27132882.0	14435870.0	1634.0	0.0
SRR1945655_1	47977778.0	10932796.0	6802.0	0.0
SRR1945656_1	46574932.0	10931344.0	29694.0	0.0
SRR1945657_1	55198290.0	7370982.0	99678.0	0.0
SRR1945658_1	50020014.0	14278246.0	3916.0	0.0
SRR1945659_1	49378922.0	18105000.0	28534.0	0.0
SRR1945660_1	53011690.0	16117640.0	8536.0	0.0
SRR1945661_1	46175250.0	14396586.0	27998.0	0.0
SRR1945662_1	48453844.0	18731148.0	220684.0	0.0
SRR1945663_1	46798760.0	15867646.0	8326.0	0.0
SRR1945664_1	50749082.0	1442060.0	31234.0	0.0
SRR1945665_1	62318776.0	2123198.0	27498.0	0.0
SRR1945666_1	45307282.0	14777032.0	8826.0	0.0
SRR1945667_1	76341200.0	779490.0	44222.0	0.0
SRR1945668_1	85087706.0	5908540.0	33770.0	0.0
SRR1945669_1	32760206.0	8607900.0	2746476.0	0.0
SRR1945670_1	50919092.0	5994432.0	18762.0	0.0
SRR1945671_1	48738578.0	7686334.0	6332.0	0.0
SRR1945672_1	63067660.0	6065676.0	4326.0	0.0
